Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-01-19,42.65,42.0,38.0,38.0,65,19804
2022-01-20,47.54,45.0,43.97,43.97,113,14594
2022-01-21,47.0,44.93,43.0,43.0,333,47333
2022-01-24,47.99,42.5,42.0,47.99,419,40706
2022-01-25,43.6,42.0,40.95,40.95,138,9336
2022-01-26,45.0,43.95,42.33,45.0,469,39106
2022-01-27,48.75,45.76,43.83,47.26,685,46329
2022-01-28,49.0,46.75,44.15,49.0,255,22824
2022-01-31,48.0,48.0,46.0,46.5,298,46424
2022-02-01,50.0,49.78,47.14,48.0,465,106417
2022-02-02,56.23,53.01,49.8,49.8,14341,14508723
2022-02-03,56.5,53.62,50.32,52.0,13288,2027935
2022-02-04,54.16,50.14,50.12,52.6,15488,1515317
2022-02-07,50.0,46.07,46.03,50.0,21347,3012597
2022-02-08,47.5,45.5,44.19,45.13,17142,2451621
2022-02-09,47.41,47.31,43.98,44.75,10720,1188942
2022-02-10,48.415,47.05,45.39,45.51,6051,752303
2022-02-11,48.91,48.09,46.28,46.76,10407,1289178
2022-02-14,49.0,48.11,47.0,48.19,7412,739292
2022-02-15,48.44,48.0,47.2,47.7,5976,675233
2022-02-16,48.41,47.2,46.95,47.72,6978,798194
2022-02-17,47.02,45.29,45.19,46.32,8333,948470
2022-02-18,45.86,45.41,44.8,45.15,6495,933250
2022-02-22,45.66,43.54,43.49,45.41,8578,917156
2022-02-23,43.97,43.09,42.18,43.69,7095,910643
2022-02-24,44.56,44.32,42.23,43.15,7784,911348
2022-02-25,44.93,43.91,43.74,44.3,7428,722396
2022-02-28,46.54,45.98,42.49,43.3,11029,2487987
2022-03-01,48.03,47.79,45.62,45.62,9884,1268146
2022-03-02,50.26,49.46,47.48,48.0,9152,1284021
2022-03-03,50.32,49.52,47.56,49.37,6281,802487
2022-03-04,51.04,51.0,48.36,49.17,9131,841030
2022-03-07,52.52,51.65,49.97,51.06,10804,1001234
2022-03-08,55.31,52.32,50.96,51.18,12145,1362787
2022-03-09,53.68,51.33,50.61,52.44,10451,1115170
2022-03-10,51.64,51.32,49.31,50.57,9198,997809
2022-03-11,51.8,49.32,48.29,51.42,9042,965272
2022-03-14,51.86,50.95,48.65,51.86,9517,1158476
2022-03-15,51.59,51.29,49.9,51.34,8633,980976
2022-03-16,52.36,51.77,50.4,51.71,9508,975813
2022-03-17,52.68,50.99,50.91,51.88,7499,932645
2022-03-18,51.03,49.01,48.88,50.65,11978,6152958
2022-03-21,49.38,49.22,48.6,48.91,7874,783187
2022-03-22,52.02,51.14,50.1,50.35,11394,1132917
2022-03-23,51.77,50.99,50.7,50.7,6825,875965
2022-03-24,52.58,52.41,51.12,51.18,6420,665730
2022-03-25,53.82,53.8,52.11,52.24,6648,770169
2022-03-28,56.85,56.78,54.1,54.38,7942,829719
2022-03-29,57.3,56.33,54.63,57.0,6864,757430
2022-03-30,57.79,57.5,55.7,56.17,7361,890316
2022-03-31,59.07,56.25,55.78,58.31,9982,1573736
2022-04-01,58.29,58.02,55.79,56.5,6389,630917
2022-04-04,58.7,58.38,57.6,58.36,6161,623118
2022-04-05,60.29,59.0,58.46,58.65,7649,800985
2022-04-06,60.08,59.6,58.45,58.9,8912,779486
2022-04-07,61.07,60.91,59.35,59.76,7885,814687
2022-04-08,64.88,64.02,60.9,61.22,11814,1361194
2022-04-11,64.48,60.68,60.41,64.18,12529,1085137
2022-04-12,63.2,61.87,60.88,61.0,10437,932033
2022-04-13,64.52,64.2,61.76,62.04,9239,1097217
2022-04-14,64.69,62.55,62.2,64.12,7366,810335
2022-04-18,64.17,63.31,62.29,62.29,4849,464636
2022-04-19,66.88,66.71,62.89,63.63,6826,778913
2022-04-20,68.64,65.41,65.16,67.82,8204,663382
2022-04-21,66.3,62.67,62.15,65.0,13269,1059776
2022-04-22,64.4,62.43,62.3,62.5,7921,711100
2022-04-25,62.52,62.27,59.44,62.36,10712,811236
2022-04-26,62.17,59.95,59.91,61.8,9915,804193
2022-04-27,61.14,60.09,59.985,60.01,6363,556917
2022-04-28,61.35,61.31,58.84,60.22,12562,1150972
2022-04-29,61.82,59.21,59.15,61.5,9850,1078509
2022-05-02,59.63,58.2,56.9,59.3,11984,983368
2022-05-03,60.38,59.7,58.45,58.45,7867,699257
2022-05-04,62.27,61.81,60.03,60.12,9676,981949
2022-05-05,61.96,60.16,59.21,61.22,10675,1017629
2022-05-06,61.1,60.27,58.76,60.26,7426,802170
2022-05-09,60.57,57.62,56.6,60.57,10317,893615
2022-05-10,59.77,57.04,56.78,58.25,10491,869372
2022-05-11,59.02,57.37,56.53,57.11,8711,745801
2022-05-12,57.31,53.47,53.09,57.31,15043,1267819
2022-05-13,55.9,54.61,53.64,54.53,11719,830035
2022-05-16,57.09,56.59,54.44,54.56,6934,672248
2022-05-17,59.4,59.32,56.03,56.85,8993,791877
2022-05-18,60.22,57.28,56.96,59.42,12808,2361175
2022-05-19,57.49,57.23,54.96,57.13,10647,820683
2022-05-20,58.94,56.65,55.5,57.51,9883,905341
2022-05-23,57.5,56.6,55.86,57.5,7772,621007
2022-05-24,57.31,56.78,55.12,56.55,8061,607344
2022-05-25,59.34,59.17,56.88,56.88,10992,881936
2022-05-26,63.02,62.47,59.42,59.42,10842,1359651
2022-05-27,66.64,66.6,62.03,62.4,10680,907394
2022-05-31,66.39,62.08,61.37,65.54,15028,3607964
2022-06-01,63.92,63.65,62.18,62.38,10730,720850
2022-06-02,64.0,63.75,62.03,63.69,10605,643059
2022-06-03,65.81,65.17,63.22,63.26,10736,750312
2022-06-06,66.91,66.39,65.43,65.57,7726,776320
2022-06-07,66.68,66.55,65.36,65.52,7723,737794
2022-06-08,66.47,64.77,63.14,66.44,9919,686949
2022-06-09,64.46,61.21,61.16,64.26,13205,863230
2022-06-10,61.06,59.79,59.21,59.85,11266,812155
2022-06-13,58.82,55.48,55.21,58.82,13241,872891
