Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-03-29,3.30875,3.28,3.2375,3.28,1236,1295120
2012-03-30,3.28875,3.25875,3.2575,3.28875,1244,2163152
2012-04-02,3.28125,3.2575,3.23625,3.26,1302,1451800
2012-04-03,3.26625,3.26,3.2325,3.265,1557,1909832
2012-04-04,3.24375,3.20875,3.1875,3.24375,1328,1446224
2012-04-05,3.21,3.18375,3.17125,3.19375,1042,1157784
2012-04-09,3.1725,3.163125,3.13875,3.15375,1051,1419032
2012-04-10,3.16875,3.0775,3.07625,3.16625,1462,1615072
2012-04-11,3.14875,3.14375,3.105,3.105,1154,1441752
2012-04-12,3.21625,3.205,3.14375,3.15,1427,1490720
2012-04-13,3.21875,3.205,3.1875,3.1875,1440,1721096
2012-04-16,3.275,3.2575,3.2075,3.21875,1794,2280488
2012-04-17,3.31125,3.2875,3.24375,3.26875,1228,1575496
2012-04-18,3.33375,3.325,3.27375,3.2875,1147,1511120
2012-04-19,3.33875,3.29625,3.2775,3.32875,1423,1654664
2012-04-20,3.33625,3.32,3.2925,3.31375,1039,1240960
2012-04-23,3.28875,3.2775,3.2475,3.28875,722,797968
2012-04-24,3.30125,3.2775,3.25125,3.27375,806,965760
2012-04-25,3.325,3.30625,3.29125,3.30625,837,901856
2012-04-26,3.3275,3.31625,3.29,3.2975,488,594296
2012-04-27,3.34125,3.32875,3.29875,3.32625,654,911312
2012-04-30,3.335,3.30125,3.28875,3.3325,776,1151392
2012-05-01,3.355,3.305,3.295,3.295,701,800912
2012-05-02,3.325,3.3225,3.28,3.28125,568,685752
2012-05-03,3.3275,3.2975,3.2825,3.31625,574,713440
2012-05-04,3.2925,3.27625,3.245,3.285,1045,1217872
2012-05-07,3.29625,3.28625,3.2475,3.26125,791,1058016
2012-05-08,3.315,3.31,3.25625,3.2625,1411,1597656
2012-05-09,3.29375,3.2875,3.26,3.2725,1043,1115000
2012-05-10,3.3125,3.2875,3.27125,3.29125,832,1172448
2012-05-11,3.34,3.30875,3.275,3.27625,678,901656
2012-05-14,3.2875,3.235,3.23375,3.2875,785,808672
2012-05-15,3.27875,3.27375,3.22,3.22875,1138,1274928
2012-05-16,3.31375,3.2875,3.27375,3.28125,930,1250040
2012-05-17,3.29375,3.2625,3.255,3.29375,1518,1727336
2012-05-18,3.28125,3.21375,3.205,3.265,1516,1732440
2012-05-21,3.29,3.28,3.21375,3.22625,892,1365616
2012-05-22,3.35125,3.345,3.2925,3.29375,1067,1399176
2012-05-23,3.375,3.375,3.3025,3.34,1046,1070608
2012-05-24,3.4075,3.405,3.35375,3.375,1035,1322768
2012-05-25,3.42625,3.3825,3.37375,3.41,759,858912
2012-05-29,3.4375,3.41125,3.38625,3.4375,2253,2497800
2012-05-30,3.485,3.44375,3.32,3.36875,3276,3561960
2012-05-31,3.43875,3.38875,3.375,3.42625,2374,3516088
2012-06-01,3.335,3.2425,3.22875,3.325,2056,2087520
2012-06-04,3.25,3.16375,3.15,3.23875,2430,2805600
2012-06-05,3.16125,3.12,3.09125,3.15375,2313,2725688
2012-06-06,3.13625,3.09875,3.0775,3.13625,1896,2095720
2012-06-07,3.15,3.0825,3.08,3.1275,1568,1695752
2012-06-08,3.0975,3.08375,3.04125,3.08,1445,1619856
2012-06-11,3.0975,3.03875,3.0375,3.0975,1424,1497568
2012-06-12,3.0525,3.02625,3.018125,3.0525,1856,1809160
2012-06-13,3.0275,2.9775,2.97,3.00875,1866,1932624
2012-06-14,2.99625,2.9325,2.92375,2.975,1940,2074384
2012-06-15,2.95625,2.9125,2.905,2.93,2036,4593440
2012-06-18,2.975,2.97375,2.89875,2.90125,1552,1879744
2012-06-19,3.0275,3.01125,2.9625,2.98,1682,1995368
2012-06-20,3.0075,2.99,2.95625,3.00625,1716,1917352
2012-06-21,2.995,2.92875,2.905625,2.995,1870,2003200
2012-06-22,2.96875,2.91875,2.91625,2.935,1430,3370192
2012-06-25,2.9,2.86625,2.8575,2.89125,739,794704
2012-06-26,2.8875,2.86875,2.8325,2.87125,1510,2091664
2012-06-27,2.91875,2.86625,2.8625,2.87125,1108,1099904
2012-06-28,2.9025,2.9025,2.82375,2.8475,1631,1973864
2012-06-29,2.96875,2.96125,2.9275,2.945,1723,2822696
2012-07-02,3.02625,3.0225,2.96875,2.96875,1781,2028136
2012-07-03,3.05625,3.045,3.015,3.01875,1071,1192096
2012-07-05,3.19125,3.04625,3.02625,3.03375,792,902968
2012-07-06,3.0425,3.01375,3.0025,3.02625,695,712072
2012-07-09,3.0175,2.995,2.99,3.00125,915,1118520
2012-07-10,3.02875,2.98375,2.9625,3.005,756,943784
2012-07-11,3.015,3.01125,2.975,2.98,1290,1383536
2012-07-12,3.0175,3.00875,2.98,2.99,1214,1387712
2012-07-13,3.04875,3.02,3.01125,3.015,1157,1223016
2012-07-16,3.02625,2.9925,2.97,3.02625,1128,1144184
2012-07-17,3.01,2.99375,2.96125,3.00875,800,771136
2012-07-18,3.0525,3.04875,2.98125,2.99125,751,822480
2012-07-19,3.075,3.07,3.04625,3.05625,679,690304
2012-07-20,3.07875,3.0475,3.036875,3.04625,1472,1608160
2012-07-23,3.0075,3.005,2.97125,3.0075,402,455488
2012-07-24,3.0175,2.9525,2.92625,3.005,756,807040
2012-07-25,2.9575,2.9375,2.933125,2.9525,967,1051936
2012-07-26,2.98625,2.98625,2.95,2.975,670,671248
2012-07-27,3.055625,3.0425,2.9825,2.99875,589,691128
2012-07-30,3.0425,2.995,2.98625,3.04,578,675992
2012-07-31,2.99625,2.97,2.96,2.98375,597,1018312
2012-08-01,3.03875,2.9525,2.94875,2.9775,846,885984
2012-08-02,2.95,2.93875,2.91,2.925,1016,1160712
2012-08-03,3.03125,3.00875,2.98,2.98,805,971024
2012-08-06,3.03625,3.0025,2.9875,3.0175,538,512496
2012-08-07,3.07375,3.04625,3.015,3.01875,1008,1065016
2012-08-08,3.091875,3.08875,3.04125,3.04125,774,806672
2012-08-09,3.145,3.125,3.08625,3.0875,1111,1262200
2012-08-10,3.13625,3.13375,3.09625,3.1225,808,837920
2012-08-13,3.1575,3.15375,3.11125,3.12625,716,758856
2012-08-14,3.18625,3.14375,3.13625,3.16125,843,1159008
2012-08-15,3.18,3.1775,3.135,3.135,609,651896
2012-08-16,3.25625,3.25625,3.1825,3.1825,778,785224
2012-08-17,3.2725,3.25125,3.24375,3.25625,1028,1212488
2012-08-20,3.2575,3.246875,3.2275,3.2425,617,719632
2012-08-21,3.25375,3.2375,3.22375,3.25,529,589768
2012-08-22,3.26,3.26,3.2075,3.2275,973,1127560
2012-08-23,3.28125,3.2725,3.24125,3.24875,986,1085488
2012-08-24,3.295,3.25375,3.24875,3.25,907,1075968
2012-08-27,3.27375,3.2575,3.24,3.26875,720,1249888
