Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-03-29,19.27516448,19.19551504,18.94661054,19.20547122,,1179801
2012-03-30,19.4643319,19.17560268,19.155690319999998,19.3149892,,1666021
2012-04-02,19.22538358,19.145734140000002,19.016303800000003,19.036216160000002,,1123322
2012-04-03,19.23533976,18.976479079999997,18.8669611,19.13577796,,1207624
2012-04-04,18.8669611,18.628012780000002,18.628012780000002,18.79726784,,1177901
2012-04-05,18.608100420000003,18.30941502,18.22976558,18.57823188,,1451784
2012-04-09,18.249677939999998,18.1202476,17.99081726,18.08042288,,979575
2012-04-10,18.15011614,17.71204422,17.71204422,18.040598160000002,,1728168
2012-04-11,18.050554339999998,17.921124,17.78173748,17.91116782,,800614
2012-04-12,18.249677939999998,18.249677939999998,17.8713431,17.98086108,,708425
2012-04-13,18.239721760000002,18.03064198,17.99081726,18.15011614,,705627
2012-04-16,18.418933,18.35919592,18.050554339999998,18.17998468,,699473
2012-04-17,18.6678375,18.608100420000003,18.28950266,18.48862626,,723858
2012-04-18,18.64792514,18.4687139,18.428889180000002,18.4687139,,604923
2012-04-19,18.59814424,18.48862626,18.32932738,18.49858244,,715547
2012-04-20,18.8171802,18.7176184,18.518494800000003,18.518494800000003,,866614
2012-04-23,18.59814424,18.428889180000002,18.27954648,18.50853862,,585225
2012-04-24,18.8171802,18.80722402,18.458757719999998,18.458757719999998,,610098
2012-04-25,19.20547122,19.18555886,18.8669611,18.926698180000002,,961096
2012-04-26,19.30503302,19.2652083,19.066084699999998,19.145734140000002,,574995
2012-04-27,19.35481392,19.2652083,19.1158656,19.30503302,,744954
2012-04-30,19.334901560000002,19.32494538,19.08599706,19.23533976,,927747
2012-05-01,19.862579099999998,19.67341168,19.27516448,19.334901560000002,,756278
2012-05-02,19.73314876,19.63358696,19.35481392,19.424507180000003,,578468
2012-05-03,19.862579099999998,19.514112800000003,19.4643319,19.59376224,,900951
2012-05-04,19.514112800000003,19.40459482,19.20547122,19.39463864,,680768
2012-05-07,19.80284202,19.72319258,19.25525212,19.32494538,1664,904316
2012-05-08,19.6634555,19.63358696,19.37472628,19.58380606,1470,528821
2012-05-09,19.69332404,19.454375719999998,19.20547122,19.38468246,1926,761879
2012-05-10,19.69332404,19.43446336,19.30503302,19.69332404,1672,782476
2012-05-11,19.63358696,19.52406898,19.22538358,19.38468246,1634,751223
2012-05-14,19.424507180000003,19.155690319999998,19.155690319999998,19.3149892,1647,663943
2012-05-15,19.28512066,19.125821780000003,19.00634762,19.20547122,3049,943249
2012-05-16,19.28512066,18.737530760000002,18.68774986,19.28512066,2793,823184
2012-05-17,18.79726784,18.050554339999998,18.050554339999998,18.77735548,2319,877065
2012-05-18,18.17998468,17.71204422,17.65230714,18.110291420000003,1843,1236128
2012-05-21,18.050554339999998,18.01072962,17.662263319999997,17.80164984,2012,962542
2012-05-22,18.2198094,18.070466699999997,17.960948719999998,18.1202476,2103,781013
2012-05-23,18.06051052,18.03064198,17.74191276,17.99081726,2292,922591
2012-05-24,18.22976558,18.10033524,17.84147456,18.130203780000002,1593,604442
2012-05-25,18.17998468,18.01072962,17.88129928,18.1202476,1123,372751
2012-05-29,18.349239739999998,18.32932738,18.110291420000003,18.14015996,1588,575220
2012-05-30,18.15011614,17.74191276,17.73195658,18.10033524,1969,897259
2012-05-31,18.020685800000003,17.8713431,17.53283298,17.751868939999998,2169,1518318
2012-06-01,17.65230714,17.3735341,17.36357792,17.46313972,2334,950374
2012-06-04,17.443227359999998,17.29388466,17.08480488,17.443227359999998,1747,710598
2012-06-05,17.722000400000002,17.662263319999997,17.164454319999997,17.1744105,1866,730926
2012-06-06,18.20985322,18.20985322,17.70208804,17.88129928,2022,872710
2012-06-07,18.47867008,18.14015996,18.08042288,18.44880154,1675,662057
2012-06-08,18.3691521,18.3691521,18.050554339999998,18.14015996,1772,551884
2012-06-11,18.64792514,17.7717813,17.76182512,18.57823188,1915,782930
2012-06-12,18.10033524,18.10033524,17.71204422,17.88129928,2384,805210
2012-06-13,18.25963412,18.020685800000003,17.921124,18.03064198,2096,750476
2012-06-14,18.47867008,18.38906446,18.040598160000002,18.070466699999997,2231,926884
2012-06-15,18.59814424,18.548363339999998,18.3691521,18.518494800000003,1518,1381278
2012-06-18,18.77735548,18.548363339999998,18.40897682,18.44880154,1939,817132
2012-06-19,18.8171802,18.657881319999998,18.548363339999998,18.657881319999998,2068,664638
2012-06-20,18.79726784,18.67779368,18.52845098,18.7176184,2506,878503
2012-06-21,18.75744312,18.43884536,18.3193712,18.75744312,2117,900488
2012-06-22,18.58818806,18.35919592,18.2695903,18.50853862,1648,956920
2012-06-25,18.25963412,18.14015996,18.08042288,18.19989704,1375,496912
2012-06-26,18.30941502,18.17998468,18.040598160000002,18.249677939999998,1671,647357
2012-06-27,18.249677939999998,18.1700285,18.08042288,18.249677939999998,1701,624149
2012-06-28,18.3691521,18.3691521,18.050554339999998,18.09037906,2211,1011424
2012-06-29,18.94661054,18.94661054,18.6678375,18.77735548,1816,1135121
2012-07-02,18.89682964,18.89682964,18.538407160000002,18.78731166,1662,729904
2012-07-03,19.125821780000003,18.98643526,18.79726784,18.85700492,935,374128
2012-07-05,19.036216160000002,18.916742,18.847048739999998,18.87691728,1788,562737
2012-07-06,19.2154274,19.1656465,18.63796896,18.7176184,1936,828835
2012-07-09,19.2154274,19.19551504,19.00634762,19.07604088,2005,760724
2012-07-10,19.35481392,18.956566719999998,18.847048739999998,19.30503302,2138,771479
2012-07-11,19.23533976,19.155690319999998,18.847048739999998,19.036216160000002,2869,1120345
2012-07-12,19.22538358,19.02625998,18.8669611,18.94661054,2511,925092
2012-07-13,19.25525212,19.19551504,19.04617234,19.066084699999998,1441,696542
2012-07-16,19.414551,19.34485774,19.13577796,19.32494538,1835,782183
2012-07-17,19.60371842,19.474288079999997,19.17560268,19.414551,1923,821017
2012-07-18,19.48424426,19.3149892,19.25525212,19.364770099999998,2069,922581
2012-07-19,19.444419540000002,19.155690319999998,19.02625998,19.364770099999998,1627,565190
2012-07-20,19.145734140000002,18.9665229,18.926698180000002,19.05612852,2059,1085766
2012-07-23,18.87691728,18.8171802,18.67779368,18.747486939999998,1725,709246
2012-07-24,18.98643526,18.7176184,18.58818806,18.90678582,2127,1050619
2012-07-25,18.79726784,18.69770604,18.568275699999997,18.747486939999998,2071,1017532
2012-07-26,19.145734140000002,18.847048739999998,18.68774986,18.99639144,1374,719746
2012-07-27,19.30503302,19.19551504,18.926698180000002,18.98643526,1763,941623
2012-07-30,19.37472628,19.30503302,19.10590942,19.1656465,1122,589285
2012-07-31,19.414551,19.40459482,19.23533976,19.37472628,1717,1138432
2012-08-01,19.992009439999997,19.72319258,19.48424426,19.48424426,2760,944611
2012-08-02,19.6634555,19.643543140000002,19.27516448,19.57384988,2291,941538
2012-08-03,19.91236,19.85262292,19.77297348,19.91236,1429,617457
2012-08-06,19.91236,19.72319258,19.69332404,19.91236,1368,864594
2012-08-07,19.85262292,19.54398134,19.52406898,19.84266674,1346,596762
2012-08-08,19.563893699999998,19.334901560000002,19.2652083,19.54398134,1306,532317
2012-08-09,19.514112800000003,19.43446336,19.29507684,19.3149892,941,468199
2012-08-10,19.50415662,19.474288079999997,19.29507684,19.3149892,834,412749
2012-08-13,19.653499319999998,19.58380606,19.43446336,19.494200439999997,907,353065
2012-08-14,19.6634555,19.58380606,19.54398134,19.58380606,1572,690446
2012-08-15,19.75306112,19.75306112,19.54398134,19.6136746,1459,473920
2012-08-16,20.00196562,19.98205326,19.69332404,19.8127982,1549,762844
2012-08-17,20.24091394,20.22100158,19.98205326,20.04179034,1123,754964
2012-08-20,20.2110454,20.141352140000002,20.00196562,20.15130832,1009,693576
2012-08-21,20.350431920000002,20.29069484,20.08161506,20.141352140000002,1861,1239287
2012-08-22,20.29069484,20.23095776,19.98205326,20.2110454,1462,576518
2012-08-23,20.2110454,20.08161506,20.00196562,20.2110454,2013,621989
2012-08-24,20.2608263,20.23095776,19.972097079999998,20.061702699999998,857,423331
2012-08-27,20.360388099999998,20.23095776,20.2110454,20.3106072,992,564701
2012-08-28,20.32056338,20.2608263,20.12143978,20.25087012,1026,492579
2012-08-29,20.3106072,20.27078248,20.19113304,20.2608263,858,437935
2012-08-30,20.330519560000003,20.2608263,20.07165888,20.15130832,1034,525674
2012-08-31,20.39025664,20.23095776,20.10152742,20.380300459999997,1381,1632918
2012-09-04,20.40021282,20.40021282,20.02187798,20.24091394,1079,642232
2012-09-05,20.410169,20.28073866,20.1612645,20.410169,1049,578021
2012-09-06,20.5097308,20.469906079999998,20.37034428,20.410169,1191,794723
2012-09-07,20.5097308,20.39025664,20.360388099999998,20.5097308,1168,873729
2012-09-10,20.420125180000003,20.32056338,20.28073866,20.420125180000003,944,342120
2012-09-11,20.489818439999997,20.469906079999998,20.29069484,20.40021282,1098,475598
2012-09-12,20.6092926,20.44999372,20.410169,20.5097308,1040,475473
2012-09-13,20.77854766,20.73872294,20.40021282,20.47986226,1458,577648
2012-09-14,21.0573207,20.937846540000002,20.74867912,20.79846002,1804,1260676
2012-09-17,21.0573207,20.907978,20.858197099999998,20.898021819999997,931,404056
2012-09-18,21.0075398,20.72876676,20.6590735,20.97767126,1064,488213
2012-09-19,20.86815328,20.8084162,20.66902968,20.73872294,1560,629840
2012-09-20,20.71881058,20.61924878,20.411164618,20.68894204,2423,1001285
2012-09-21,20.72876676,20.53959934,20.51968698,20.66902968,1401,1783004
2012-09-24,20.64911732,20.49977462,20.43008136,20.549555520000002,1138,532057
2012-09-25,20.58938024,20.1612645,20.1612645,20.51968698,1974,871307
2012-09-26,20.350431920000002,20.141352140000002,20.1114836,20.20108922,1543,737471
2012-09-27,20.489818439999997,20.25087012,20.17122068,20.22100158,1273,686518
2012-09-28,20.330519560000003,20.18117686,20.02187798,20.15130832,1889,1561788
2012-10-01,20.18117686,19.73314876,19.55393752,20.15130832,1543,695342
2012-10-02,19.90240382,19.79288584,19.67341168,19.80284202,1319,655726
2012-10-03,20.13139596,20.04179034,19.832710560000002,19.832710560000002,1599,896494
2012-10-04,20.19113304,20.02187798,19.91236,20.15130832,1224,600709
2012-10-05,20.330519560000003,20.1612645,20.031834160000002,20.09157124,1423,761456
2012-10-08,20.141352140000002,20.10152742,20.00196562,20.061702699999998,904,394304
2012-10-09,20.23095776,20.1114836,20.08161506,20.10152742,1812,672355
2012-10-10,20.22100158,20.1612645,20.011921800000003,20.12143978,1328,562138
2012-10-11,20.39025664,20.23095776,20.23095776,20.330519560000003,1242,667341
2012-10-12,20.40021282,20.18117686,20.141352140000002,20.25087012,1690,689714
2012-10-15,20.350431920000002,20.350431920000002,20.011921800000003,20.20108922,1378,621739
2012-10-16,20.51968698,20.47986226,20.410169,20.44999372,1185,491378
2012-10-17,20.529643160000003,20.51968698,20.350431920000002,20.47986226,1115,753429
2012-10-18,20.77854766,20.7586353,20.49977462,20.49977462,1174,537570
2012-10-19,20.858197099999998,20.489818439999997,20.420125180000003,20.71881058,1002,882647
2012-10-22,20.529643160000003,20.380300459999997,20.1612645,20.440037540000002,1375,772658
2012-10-23,20.20108922,19.91236,19.90240382,20.18117686,1446,733282
2012-10-24,20.141352140000002,19.85262292,19.78292966,20.02187798,1386,685425
2012-10-25,20.061702699999998,19.69332404,19.474288079999997,19.992009439999997,1787,848414
2012-10-26,19.73314876,19.54398134,19.37472628,19.7132364,1881,1007691
2012-10-31,19.653499319999998,19.43446336,19.3149892,19.414551,2863,1691526
