Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-14,33.25,33.25,31.0,31.0,76,125980
2021-05-17,34.91,34.1,34.0,34.91,16,7405
2021-05-18,38.0,37.5,34.48,34.48,26,4646
2021-05-19,37.6,37.5,37.0,37.0,16,11704
2021-05-20,37.75,37.75,37.6,37.6,3,210
2021-05-21,38.5,37.6,37.5,38.5,9,2450
2021-05-24,38.0,38.0,37.65,37.65,13,8667
2021-05-25,38.75,36.95,36.9,38.75,60,7060
2021-05-26,37.0,36.83,36.0,37.0,31,17162
2021-05-27,37.0,35.5,35.5,37.0,77,18676
2021-05-28,36.22,35.75,35.75,36.0,70,15802
2021-06-01,36.65,36.0,35.98,36.65,41,4819
2021-06-02,36.5,35.26,34.55,36.5,300,484103
2021-06-03,38.22,37.0,32.35,34.15,6174,11551753
2021-06-04,36.15,34.15,33.71,36.0,5987,1372042
2021-06-07,33.75,31.42,30.86,33.31,6828,1680564
2021-06-08,30.5,28.91,28.9,30.22,7701,2458782
2021-06-09,29.43,28.45,27.26,28.3,9735,2797210
2021-06-10,31.15,30.33,28.44,28.46,6620,1803442
2021-06-11,30.37,29.65,29.4,30.37,6855,1490769
2021-06-14,30.61,30.28,29.31,30.1,6205,1663912
2021-06-15,32.09,31.81,29.8,30.0,6468,1338222
2021-06-16,31.61,30.7,30.27,31.6,4680,1145270
2021-06-17,31.73,31.46,30.11,30.35,4078,1080358
2021-06-18,31.59,29.98,29.96,31.51,3960,5629055
2021-06-21,30.67,29.41,29.38,30.2,4124,943725
2021-06-22,29.86,29.53,28.85,29.25,4700,1091466
2021-06-23,30.06,29.5,29.1,29.53,4249,898174
2021-06-24,30.02,29.77,29.35,29.35,3727,684725
2021-06-25,30.86,30.19,29.23,29.58,5096,5781285
2021-06-28,31.03,30.94,29.43,29.6,3114,700992
2021-06-29,31.31,30.55,30.46,31.1,2385,519393
2021-06-30,30.83,30.26,30.25,30.42,3212,561410
2021-07-01,31.21,30.82,30.08,30.11,2863,781674
2021-07-02,31.12,30.86,30.31,30.61,2386,500363
2021-07-06,31.1,31.0,29.91,30.6,2519,529331
2021-07-07,31.01,30.12,29.875,31.0,3573,739047
2021-07-08,30.17,29.65,29.28,29.65,2015,402483
2021-07-09,30.27,30.1,29.59,30.0,3643,677731
2021-07-12,30.36,29.74,29.57,29.77,1611,407132
2021-07-13,29.88,29.1,28.97,29.5,2141,408532
2021-07-14,29.4,29.34,28.84,28.98,1889,412672
2021-07-15,29.48,28.91,28.69,28.84,2489,502340
2021-07-16,28.95,28.87,28.42,28.77,1795,473405
2021-07-19,29.17,29.14,28.54,28.58,3050,714722
2021-07-20,29.77,29.61,29.2,29.23,2472,509247
2021-07-21,30.5,30.46,29.56,29.71,1981,556729
2021-07-22,31.06,30.92,30.25,30.25,2261,638150
2021-07-23,30.9,29.8,29.73,30.9,1603,330950
2021-07-26,30.2,29.66,29.19,29.65,1313,372350
2021-07-27,29.63,29.12,28.83,29.36,2427,479735
2021-07-28,29.87,29.74,29.02,29.13,2181,464574
2021-07-29,29.86,29.23,29.22,29.59,1597,346385
2021-07-30,29.39,29.01,28.91,29.07,1321,321837
2021-08-02,29.63,29.53,29.05,29.15,1516,280194
2021-08-03,29.58,29.51,29.05,29.28,992,296749
2021-08-04,29.25,28.63,28.61,29.25,1240,391405
2021-08-05,29.58,29.56,28.51,28.7,2152,561800
2021-08-06,29.77,29.5,29.17,29.49,1195,294066
2021-08-09,29.78,29.1,28.92,29.77,2262,425661
2021-08-10,30.48,30.35,28.92,29.08,3019,508243
2021-08-11,30.4,29.93,29.75,30.4,1643,326894
2021-08-12,33.98,33.5,31.01,31.02,5533,1116579
2021-08-13,34.48,34.21,32.93,33.37,2182,413498
2021-08-16,34.79,34.33,33.92,34.27,2112,494315
2021-08-17,35.8,35.38,34.45,34.7,3275,638238
2021-08-18,36.46,33.59,33.55,35.88,3856,777943
2021-08-19,34.56,34.1,33.05,33.4,2407,478261
2021-08-20,34.45,33.22,33.15,34.28,2178,682865
2021-08-23,33.75,33.24,32.86,33.51,2217,480520
2021-08-24,33.82,33.16,32.97,33.24,1874,577906
2021-08-25,33.6,33.3,32.37,33.0,2483,677320
2021-08-26,34.35,33.96,33.3,33.43,1695,292912
2021-08-27,34.3,34.25,33.73,34.02,1136,306945
2021-08-30,34.21,33.72,33.665,34.09,1332,250542
2021-08-31,34.09,33.89,33.5,33.54,2583,590200
2021-09-01,35.35,34.56,34.35,34.45,3261,619386
2021-09-02,35.63,35.61,34.36,35.02,2671,692001
2021-09-03,35.65,35.61,34.87,35.49,2206,395694
2021-09-07,35.75,35.64,34.88,35.28,2829,471168
2021-09-08,35.53,34.97,34.765,35.53,2968,511581
2021-09-09,35.0,34.68,34.24,34.99,1762,445585
2021-09-10,35.0,33.88,33.87,34.91,1768,391768
2021-09-13,34.18,33.83,33.54,34.18,1486,292459
2021-09-14,33.85,33.42,33.25,33.8,1849,322007
2021-09-15,34.25,33.72,33.28,33.5,2974,564004
2021-09-16,34.09,33.76,33.02,33.89,1608,344098
2021-09-17,34.08,34.03,33.29,34.01,2685,2442028
2021-09-20,33.69,32.94,32.79,33.24,1954,460182
2021-09-21,33.38,32.89,32.75,33.19,1415,286391
2021-09-22,33.1,32.65,32.6,33.09,1385,285832
2021-09-23,33.43,33.38,32.68,32.76,1157,274824
2021-09-24,33.94,33.69,33.01,33.5,1325,308220
2021-09-27,33.86,33.54,33.46,33.65,1310,477426
2021-09-28,33.5,33.04,32.9,33.5,1451,274447
2021-09-29,34.0,33.98,33.02,33.02,1623,380470
2021-09-30,34.13,32.79,32.78,34.0,2330,554963
2021-10-01,33.59,33.33,32.57,32.89,1965,375000
2021-10-04,33.57,32.94,32.83,33.18,1526,464715
2021-10-05,33.13,32.53,32.49,32.68,1956,965415
2021-10-06,33.14,33.07,31.94,32.23,2301,595035
2021-10-07,33.3,32.84,32.75,33.07,1250,349618
2021-10-08,32.85,32.57,32.24,32.79,1095,329531
2021-10-11,33.25,33.21,32.56,32.58,1439,363769
2021-10-12,33.54,32.84,32.76,33.18,1233,225855
2021-10-13,33.31,33.15,32.69,33.0,1218,252299
2021-10-14,33.93,33.64,33.18,33.2,1679,370456
2021-10-15,35.25,34.89,33.9,34.0,1411,342232
2021-10-18,35.11,34.8,34.5,34.88,1201,286704
2021-10-19,35.39,35.06,34.72,34.83,1057,256940
2021-10-20,36.21,35.76,34.98,35.19,1636,253657
2021-10-21,35.75,35.36,35.13,35.75,997,328342
2021-10-22,35.79,35.66,35.11,35.33,1209,223595
2021-10-25,36.95,36.91,35.49,35.49,1510,342640
2021-10-26,37.32,36.71,36.5,36.52,1954,343427
2021-10-27,36.68,35.72,35.52,36.68,1641,246765
2021-10-28,36.68,36.52,35.62,35.86,1835,338963
2021-10-29,37.2,36.75,36.41,36.46,2194,562959
2021-11-01,37.31,37.13,36.5,36.7,1246,248294
2021-11-02,37.3,36.49,36.41,37.3,2038,466816
2021-11-03,37.02,36.82,36.22,36.22,1917,386362
2021-11-04,37.13,36.26,36.2,36.81,3064,554242
2021-11-05,36.7,36.28,35.57,36.18,2378,695156
2021-11-08,37.35,36.99,36.41,36.55,2169,421684
2021-11-09,36.98,36.64,36.47,36.87,1618,282321
2021-11-10,37.35,36.63,36.25,36.79,2345,841134
2021-11-11,35.25,34.72,32.76,35.25,6219,1086394
2021-11-12,34.63,33.7,33.52,34.58,2364,502769
2021-11-15,33.75,33.38,33.01,33.75,2192,541068
2021-11-16,33.75,33.54,32.91,33.31,1811,563708
2021-11-17,33.45,32.95,32.64,33.45,2173,411747
2021-11-18,32.95,31.6,31.34,32.9,2268,536635
2021-11-19,31.82,31.25,30.89,31.69,2212,543239
2021-11-22,31.98,31.64,31.5,31.59,1941,408821
2021-11-23,31.58,31.2,30.96,31.5,1854,345557
2021-11-24,31.63,31.54,30.96,31.26,1409,284557
2021-11-26,31.55,31.13,30.71,31.05,1106,309147
2021-11-29,31.04,30.62,30.14,31.04,1771,431001
