Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-03-19,46.0,45.25,40.0,40.0,15,3100
2020-03-20,46.01,45.0,45.0,45.01,12,2785
2020-03-23,42.01,40.0,40.0,42.01,12,3222
2020-03-24,40.0,40.0,40.0,40.0,3,1086
2020-03-25,44.8,41.01,40.0,40.0,50,2742
2020-03-26,47.5,45.0,44.25,45.0,140,11275
2020-03-27,47.0,45.235,44.99,45.0,172,15142
2020-03-30,50.0,50.0,46.0,46.51,296,21927
2020-03-31,50.0,50.0,45.01,47.0,164,27701
2020-04-01,48.5,46.7,44.05,45.99,206,21219
2020-04-02,48.66,44.0,43.2,46.37,2452,4036870
2020-04-03,49.2,47.32,41.8,43.75,6889,9874720
2020-04-06,47.76,45.94,44.78,46.63,5832,1245507
2020-04-07,46.97,44.28,42.96,45.05,9956,1540847
2020-04-08,45.17,44.09,41.29,42.1,9952,2909305
2020-04-09,50.25,49.14,44.0,44.0,12148,3337963
2020-04-13,48.67,46.0,45.74,48.55,10254,2025540
2020-04-14,46.28,45.89,43.97,45.91,8889,2208871
2020-04-15,44.85,44.55,42.81,44.19,6768,1478752
2020-04-16,46.32,45.62,43.64,44.08,6415,1601108
2020-04-17,48.56,46.15,45.92,47.0,7454,1728114
2020-04-20,46.93,45.39,44.9,45.0,4373,964507
2020-04-21,47.16,45.9,44.5,44.5,7446,1889037
2020-04-22,49.55,47.05,46.595,47.31,6441,1543455
2020-04-23,48.04,47.47,46.48,47.44,4320,889066
2020-04-24,48.5,47.85,46.32,48.02,4693,1283331
2020-04-27,48.57,48.22,47.61,48.08,5356,963848
2020-04-28,50.95,49.86,48.68,49.07,4984,998578
2020-04-29,51.71,51.15,49.75,50.77,4425,906069
2020-04-30,51.52,50.91,50.5,50.97,3904,2883936
2020-05-01,50.52,49.71,48.31,50.33,2737,715337
2020-05-04,49.67,49.53,47.51,48.85,3531,1562887
2020-05-05,50.64,48.09,47.96,49.53,3864,632972
2020-05-06,49.0,48.31,47.89,48.61,3675,810340
2020-05-07,53.25,51.81,49.0,49.02,5233,878703
2020-05-08,54.14,52.95,52.12,52.12,3551,640351
2020-05-11,52.37,51.81,51.06,52.0,3404,707143
2020-05-12,52.29,49.72,49.69,52.19,3570,613695
2020-05-13,50.29,48.21,47.89,49.0,3847,663938
2020-05-14,48.375,48.0,47.25,47.61,3530,809783
2020-05-15,49.22,48.89,47.23,47.32,2697,621076
2020-05-18,52.33,52.13,50.12,50.12,4557,1095486
2020-05-19,52.91,52.31,51.07,51.68,2742,444638
2020-05-20,54.62,53.18,52.49,52.55,4925,952771
2020-05-21,53.53,52.03,51.88,52.37,3225,743395
2020-05-22,52.58,51.71,50.96,52.46,2292,427588
2020-05-26,53.99,50.89,50.7,53.05,7424,1517174
2020-05-27,52.65,52.38,50.77,51.59,8429,1245135
2020-05-28,52.93,50.96,50.93,52.87,4717,785508
2020-05-29,52.87,52.65,50.18,50.44,6403,2769588
2020-06-01,54.41,54.08,52.19,52.45,3915,635439
2020-06-02,54.74,54.15,53.32,54.16,3041,650048
2020-06-03,55.57,55.47,54.6,55.0,3904,1315309
2020-06-04,56.65,55.4,54.69,55.3,4138,802545
2020-06-05,58.68,58.57,56.0,57.83,6655,1179790
2020-06-08,61.32,61.26,58.49,58.68,7082,1584474
2020-06-09,61.46,60.65,59.25,60.4,4265,1370587
2020-06-10,60.8,59.03,59.02,60.61,3200,547318
2020-06-11,58.05,56.25,55.8,56.0,5566,841138
2020-06-12,58.98,56.04,55.1,57.55,3996,569353
2020-06-15,57.8,57.67,53.83,54.5,4962,889504
2020-06-16,59.77,57.85,57.38,59.5,6378,975346
2020-06-17,58.18,56.74,56.46,58.12,3439,646119
2020-06-18,57.68,57.49,56.24,56.44,3705,678031
2020-06-19,58.96,57.0,55.97,58.96,5954,4331016
2020-06-22,58.14,57.06,56.84,56.88,3144,508949
2020-06-23,57.87,56.8,56.6,57.69,2708,644313
2020-06-24,56.91,55.54,55.26,56.05,4161,656326
2020-06-25,56.5,56.2,54.76,55.0,3701,553570
2020-06-26,56.38,55.79,54.46,56.23,4418,3538979
2020-06-29,56.8,56.57,55.38,55.89,3443,522136
2020-06-30,57.08,56.86,55.54,55.91,4363,851819
2020-07-01,57.0,55.78,55.75,57.0,3498,561948
2020-07-02,57.2,56.5,55.78,56.43,3403,788949
2020-07-06,57.58,56.86,56.46,57.38,2856,469218
2020-07-07,57.3,56.82,56.14,56.43,2798,515104
2020-07-08,57.13,56.92,56.31,57.03,3571,1116178
2020-07-09,57.93,56.11,56.07,56.86,3478,425474
2020-07-10,57.3,56.98,56.07,56.23,3229,589741
2020-07-13,57.94,56.89,56.5,56.56,2946,398451
2020-07-14,57.44,57.37,56.05,56.22,3519,646965
2020-07-15,59.0,58.2,57.86,58.01,4432,634427
2020-07-16,58.55,58.32,57.73,58.0,2897,786059
2020-07-17,59.02,58.55,58.15,58.73,2766,1057717
2020-07-20,59.6,58.56,57.99,58.42,3696,578530
2020-07-21,58.9,58.44,58.1,58.1,2405,453232
2020-07-22,58.92,58.48,57.71,57.96,2337,452740
2020-07-23,59.465,59.06,58.39,58.5,3247,654989
2020-07-24,59.18,58.13,57.631,59.18,3256,693557
2020-07-27,58.44,58.32,57.65,57.86,3276,502934
2020-07-28,61.81,60.28,59.7,59.82,5044,690693
2020-07-29,64.36,64.3,61.1,61.1,6111,906398
2020-07-30,64.5,63.39,63.15,63.44,4112,617753
2020-07-31,63.19,62.74,62.2,62.8,3187,1680798
2020-08-03,63.8,63.21,62.76,63.02,3820,1284696
2020-08-04,62.9,62.61,61.99,62.58,2440,627625
2020-08-05,63.61,63.09,62.34,62.74,3338,760256
2020-08-06,63.51,63.48,62.89,62.89,1837,310228
2020-08-07,64.47,64.41,63.16,63.16,2065,326026
2020-08-10,65.27,65.21,64.29,64.29,2173,469550
2020-08-11,65.93,64.37,64.33,65.52,4799,703291
2020-08-12,65.47,64.9,64.24,64.97,2695,432615
2020-08-13,64.96,64.0,63.83,64.96,2219,306099
2020-08-14,64.5,64.07,63.67,63.71,2180,779612
2020-08-17,64.52,63.96,63.71,64.46,3421,531930
2020-08-18,64.38,63.45,63.39,63.85,2868,509364
2020-08-19,63.57,62.92,62.6,63.48,2484,472619
2020-08-20,63.25,62.97,61.81,62.16,3746,422509
2020-08-21,63.74,63.63,62.62,63.03,2562,1115979
2020-08-24,64.22,63.8,63.04,63.61,3282,1528011
2020-08-25,64.81,64.29,63.92,64.41,3247,505718
2020-08-26,64.75,64.18,63.75,64.28,2057,317673
2020-08-27,64.9,63.23,63.19,64.52,2572,370227
