Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-03-29,29.71,29.625,28.945,29.09,,1155990
2012-03-30,30.18,29.98,29.68,29.775,,1045708
2012-04-02,30.705,30.57,30.05,30.085,,1274246
2012-04-03,31.205,31.14,30.67,31.185,,2657702
2012-04-04,31.16,31.08,30.29,30.655,,2090686
2012-04-05,31.245,31.215,30.865,30.955,,1336686
2012-04-09,31.25,31.145,30.875,30.93,,1314472
2012-04-10,31.14,31.0,30.835,31.08,,1838692
2012-04-11,31.37,31.34,31.08,31.145,,1575134
2012-04-12,31.56,31.445,31.125,31.34,,815180
2012-04-13,31.53,31.195,31.18,31.27,,1051776
2012-04-16,31.81,31.59,31.315,31.445,,701294
2012-04-17,32.11,32.015,31.75,31.875,,1070462
2012-04-18,31.985,31.725,31.715,31.89,,725962
2012-04-19,31.78,31.755,31.44,31.695,,1128226
2012-04-20,32.345,32.255,31.74,31.79,,1038072
2012-04-23,32.025,31.73,31.635,32.01,,1327038
2012-04-24,32.07,32.045,31.73,31.845,,833958
2012-04-25,32.2,32.06,31.97,32.2,,860576
2012-04-26,32.055,31.955,31.665,32.055,,1628794
2012-04-27,32.46,32.4,32.03,32.09,,802630
2012-04-30,32.425,32.37,32.19,32.255,,567766
2012-05-01,32.665,32.53,32.185,32.32,,582348
2012-05-02,32.45,31.94,31.745,32.445,,1160768
2012-05-03,32.685,32.225,32.11,32.11,,1180680
2012-05-04,32.75,32.46,32.41,32.61,,886060
2012-05-07,32.57,32.52,32.35,32.415,1606,676598
2012-05-08,32.46,32.37,32.19,32.245,2028,804420
2012-05-09,32.345,32.095,31.985,32.17,2634,1039220
2012-05-10,32.62,32.485,32.15,32.25,2083,765180
2012-05-11,32.57,32.445,32.38,32.415,1471,594024
2012-05-14,32.555,32.37,32.09,32.205,1275,511220
2012-05-15,32.35,32.125,31.975,32.255,1484,598752
2012-05-16,32.215,31.96,31.875,32.215,1692,571752
2012-05-17,32.025,31.86,31.86,32.005,1688,741752
2012-05-18,32.12,31.72,31.645,31.985,1053,931522
2012-05-21,32.025,32.02,31.695,31.745,1097,364418
2012-05-22,32.155,32.01,31.93,32.07,1361,589070
2012-05-23,32.0,31.71,31.51,31.92,1864,654800
2012-05-24,32.285,32.025,31.775,31.785,2254,999678
2012-05-25,32.21,32.175,31.955,31.96,1342,475586
